batch_id,route_class,study,sublabel,umi_clean,n_molecules,aligned_bases,del_frac,ins_frac,sub_frac,log_total_err,sub_GtoA,sub_GtoT,sub_CtoT,sub_TtoC,sub_AtoG,sub_other,pos5p_slope,trunc_n1_frac,trunc_decay,homopolymer_enrich,gc_effect,intra_corr
SRR14416410,column_phosphoramidite,filges,Eurofins,True,5942,587479,0.866089,0.0161616,0.117749,-2.22929,0.122549,0.0980392,0.294118,0.0637255,0.0343137,0,-0.120384,0.465066,0.298122,1,0,3.65934
SRR14416416,column_phosphoramidite,filges,BioSearch,True,9044,894382,0.869229,0.0288883,0.101883,-2.36303,0.159494,0.263291,0.126582,0.113924,0.0202532,0,-0.0491682,0.713941,0.173288,1,0,3.24177
SRR14416417,column_phosphoramidite,filges,BioSearch,True,9160,905754,0.853346,0.0162402,0.130413,-2.34806,0.143396,0.25283,0.171698,0.103774,0.0377358,0,-0.0349166,0.705743,0.184564,1,0,3.29265
ERR12033803,array_electrochem,gimpel,electrochem,False,702235,70641304,0.51944,0,0.48056,-1.80888,0.138306,0.0577158,0.162266,0.209829,0.185875,0,0.0399443,0.535784,0.425592,1,0,0.243476
ERR12033805,array_deposition,gimpel,deposition,False,1086854,117296148,0.0708092,0,0.929191,-2.22958,0.0861475,0.0288959,0.130351,0.286946,0.254826,0,-0.0128219,0.850166,0.0732813,1,0,-0.441998
ERR12033807,array_electrochem,gimpel,electrochem,False,847706,85128089,0.490996,0,0.509004,-1.75735,0.127178,0.0600719,0.14954,0.214244,0.199025,0,0.0361413,0.529552,0.424751,1,0,0.317092
ERR12033809,array_deposition,gimpel,deposition,False,1157013,124852195,0.0707882,0,0.929212,-2.1773,0.0860553,0.0311701,0.125776,0.285539,0.256224,0,-0.00522852,0.853832,0.0695137,1,0,-0.387721
ERR5265252,photolithographic,lietard,capped,False,63054,3283777,0.807987,0,0.192013,-1.33548,0.145285,0.0871849,0.0658952,0.0823776,0.0488291,0,-0.0411549,0.294392,1.0208,1,0,-0.229537
ERR5265253,photolithographic,lietard,space,False,20248,1011750,0.817486,0,0.182514,-1.3209,0.0926304,0.239796,0.0530612,0.0633787,0.0323129,0,-0.0490632,0.295926,0.997149,1,0,-0.211323
ERR5265254,photolithographic,lietard,normal,False,40889,2037326,0.735025,0,0.264975,-1.3332,0.0810692,0.22697,0.0505486,0.0570517,0.0385398,0,-0.0406484,0.341888,0.920204,1,0,-0.22508
